Threads	DFC-PWB	DFC-PFENCE	DFC-PWB-T	DFC-PFENCE-T	
1	3.5	2	5.5	4	
2	2.83344	1.43533	4.83344	3.43533	
4	2.30038	0.848464	4.30038	2.84846	
8	1.78297	0.441564	3.78297	2.44156	
10	1.65991	0.352989	3.65991	2.35299	
16	1.46178	0.230652	3.46178	2.23065	
18	1.41904	0.206977	3.41902	2.20696	
20	1.37493	0.185768	3.37493	2.18577	
22	1.35692	0.171121	3.35689	2.1711	
24	1.33538	0.157555	3.33535	2.15752	
26	1.31188	0.145794	3.31185	2.14577	
28	1.29847	0.131375	3.29846	2.13136	
30	1.27702	0.124478	3.277	2.12446	
32	1.26423	0.115985	3.26424	2.11599	
34	1.26609	0.118231	3.26604	2.11818	
36	1.24499	0.108697	3.24493	2.10864	
40	1.21455	0.094751	3.21455	2.09475	
42	1.23217	0.102845	3.23212	2.1028	
44	1.2289	0.090462	3.22888	2.09044	
46	1.21467	0.088789	3.21465	2.08878	
48	1.21135	0.092634	3.21132	2.0926	
50	1.21422	0.090525	3.21422	2.09052	
52	1.19911	0.077938	3.19903	2.07786	
54	1.21326	0.088448	3.2132	2.08839	
56	1.21094	0.081976	3.21092	2.08196	
58	1.20483	0.080529	3.20479	2.08048	
60	1.20129	0.077105	3.20121	2.07702	
64	1.19965	0.078141	3.19965	2.07814	
68	1.18916	0.071345	3.18904	2.07123	
72	1.19151	0.073421	3.19138	2.07329	
76	1.17732	0.070846	3.17718	2.07071	
80	1.17936	0.066739	3.17936	2.06674	
