Threads	RomLog-FC-LinkedListStack-PWB	RomLog-FC-LinkedListStack-PFENCE	
1	10	5	
2	9.44818	3.62367	
4	8.80845	2.05983	
8	8.39996	1.05784	
10	8.32226	0.830658	
16	8.19204	0.493665	
18	8.16389	0.424337	
20	8.14289	0.378261	
22	8.12664	0.334801	
24	8.11817	0.315292	
26	8.11241	0.307644	
28	8.1051	0.286499	
30	8.09307	0.261144	
32	8.09119	0.26044	
34	8.08506	0.259233	
36	8.0744	0.247518	
40	8.06445	0.241449	
42	8.0656	0.231729	
44	8.06735	0.229036	
46	8.06844	0.233787	
48	8.06513	0.223426	
50	8.06195	0.216859	
52	8.05778	0.204766	
54	8.05708	0.196853	
56	8.05528	0.190161	
58	8.05516	0.185077	
60	8.05285	0.18109	
64	8.05006	0.173203	
68	8.04776	0.162431	
72	8.0452	0.155816	
76	8.04253	0.149276	
80	8.04043	0.1364	
